"","ranking","power_index","state","sex"
"842",840,27.39,"MI","F"
"843",843,27.45,"PA","F"
"844",843,27.45,"IN","F"
"845",845,27.48,"SC","F"
"846",846,27.5,"NJ","F"
"847",847,27.54,"OH","F"
"848",848,27.56,"IL","F"
"849",849,27.57,"MI","F"
"850",850,27.58,"NY","F"
"851",851,27.59,"MT","F"
"852",852,27.6,"CO","F"
"853",853,27.61,"TX","F"
"854",854,27.68,"CA","F"
"855",855,27.7,"OK","F"
"856",856,27.72,"VA","F"
"857",857,27.76,"NJ","F"
"858",857,27.76,"CA","F"
"859",859,27.79,"PA","F"
"860",860,27.8,"CO","F"
"861",861,27.82,"VA","F"
"862",861,27.82,"VA","F"
"863",861,27.82,"FL","F"
"864",864,27.83,"NE","F"
"865",864,27.83,"MA","F"
"866",866,27.85,"CA","F"
"867",867,27.86,"PA","F"
