"endTime","artistName","trackName","msPlayed"
"2023-11-10 02:58","Kanye West","Everything I Am",49481
"2023-11-10 03:02","Lil Uzi Vert","Patience (feat. Don Toliver)",232176
"2023-11-10 03:06","Drake","Drew A Picasso",262768
"2023-11-10 03:09","Drake","Pain 1993 (with Playboi Carti)",149077
"2023-11-10 03:13","Travis Scott","MELTDOWN (feat. Drake)",246133
"2023-11-10 03:16","Travis Scott","I KNOW ?",211582
"2023-11-10 03:18","Bad Bunny","VOU 787",123643
"2023-11-10 03:19","Jack Harlow","I'd Do Anything To Make You Smile",3900
"2023-11-10 03:19","Drake","First Person Shooter (feat. J. Cole)",3076
"2023-11-10 03:20","Young Thug","Want Me Dead (feat. 21 Savage)",97848
"2023-11-10 03:55","Drake","Away From Home",213507
"2023-11-10 04:00","Lil Uzi Vert","Patience (feat. Don Toliver)",262429
"2023-11-10 04:03","Teezo Touchdown","UUHH",209053
"2023-11-10 04:06","Drake","Amen (feat. Teezo Touchdown)",141212
"2023-11-10 04:07","Drake","Virginia Beach",80428
"2023-11-10 07:22","PinkPantheress","Nice to meet you (feat. Central Cee)",3868
"2023-11-10 07:22","Jack Harlow","Lovin On Me",138411
"2023-11-10 07:26","AJR","Maybe Man",220093
"2023-11-10 07:30","AJR","Yes I'm A Mess",43678
"2023-11-10 07:30","AJR","Touchy Feely Fool",215000
"2023-11-10 07:31","AJR","The Dumb Song",15551
"2023-11-10 07:34","AJR","Inertia",220933
"2023-11-10 07:38","AJR","Turning Out Pt. iii",230986
"2023-11-10 07:41","AJR","Hole in the Bottom of My Brain",187893
"2023-11-10 07:41","AJR","The DJ is Crying for Help",3069
"2023-11-10 07:41","AJR","I Won't",9408
"2023-11-10 07:46","AJR","Steve’s Going to London",287746
"2023-11-10 07:47","AJR","God is Really Real",18642
"2023-11-10 07:52","AJR","Maybe Man",0
"2023-11-10 07:52","AJR","2085",331546
"2023-11-10 07:55","PinkPantheress","Nice to meet you (feat. Central Cee)",151061
"2023-11-10 16:08","AJR","Maybe Man",1963
"2023-11-10 16:12","AJR","Maybe Man",220093
"2023-11-10 16:15","AJR","Touchy Feely Fool",215000
"2023-11-10 16:18","AJR","Yes I'm A Mess",164973
"2023-11-10 16:22","AJR","The Dumb Song",211261
"2023-11-10 16:25","AJR","Inertia",220933
"2023-11-10 20:02","AJR","Turning Out Pt. iii",46706
"2023-11-10 20:02","AJR","Turning Out Pt. iii",184556
"2023-11-10 20:05","AJR","Hole in the Bottom of My Brain",187893
"2023-11-10 20:08","AJR","The DJ is Crying for Help",171609
"2023-11-10 20:11","AJR","I Won't",168426
"2023-11-10 20:42","AJR","Steve’s Going to London",287746
"2023-11-10 20:42","AJR","God is Really Real",3070
"2023-11-10 20:47","AJR","2085",331546
"2023-11-10 20:51","AJR","Maybe Man",220093
"2023-11-10 20:55","AJR","Touchy Feely Fool",215000
"2023-11-10 23:47","AJR","Yes I'm A Mess",164973
"2023-11-10 23:50","Jack Harlow","Lovin On Me",138411
"2023-11-10 23:53","AJR","The Dumb Song",225946
"2023-11-10 23:57","AJR","Inertia",220933
"2023-11-11 00:40","AJR","Turning Out Pt. iii",230986
"2023-11-11 00:41","AJR","Hole in the Bottom of My Brain",107508
"2023-11-11 00:43","AJR","Steve’s Going to London",107508
"2023-11-11 00:43","AJR","God is Really Real",1764
"2023-11-11 00:47","AJR","2085",253306
"2023-11-11 00:51","AJR","Maybe Man",3274
"2023-11-11 00:53","Jack Harlow","Lovin On Me",138411
"2023-11-11 00:56","AJR","Touchy Feely Fool",215000
"2023-11-11 00:57","AJR","The Dumb Song",1486
"2023-11-11 00:57","AJR","Yes I'm A Mess",41896
"2023-11-11 00:59","AJR","Inertia",94365
"2023-11-11 01:03","AJR","Hole in the Bottom of My Brain",24897
"2023-11-11 01:03","AJR","Turning Out Pt. iii",230986
"2023-11-11 04:23","Dominic Fike","Think Fast (feat. Weezer)",222839
"2023-11-11 04:26","Dominic Fike","Ant Pile",126232
"2023-11-11 04:45","Dominic Fike","Mama's Boy",155721
"2023-11-11 04:49","Twenty One Pilots","Fake You Out",231320
"2023-11-11 04:52","half•alive","Yosemite",169960
"2023-11-11 07:49","half•alive","creature",306248
"2023-11-11 07:49","LUCKI","Randomly",5085
"2023-11-11 07:52","Twenty One Pilots","House of Gold",163880
"2023-11-11 07:55","Dominic Fike","4x4",167921
"2023-11-11 07:59","Twenty One Pilots","Mulberry Street - Livestream Version",261008
"2023-11-11 08:02","Twenty One Pilots","Tear in My Heart - MTV Unplugged Live",137908
"2023-11-11 08:04","Drake","Jimmy Cooks (feat. 21 Savage)",0
"2023-11-11 08:04","Jack Harlow","Lovin On Me",138411
"2023-11-11 08:07","Jack Harlow","Ambitious",172609
"2023-11-11 08:07","Jack Harlow","It Can't Be",3710
"2023-11-11 08:07","Kendrick Lamar","DNA.",2786
